realization,lambda_short,lambda_long,eigenvalue_ratio,axis_ratio,d_short,d_long,Delta_chi2_LR
N100-51,0.0005697310606655752,0.03388430439946511,59.474209392551906,7.711952372295352,-1.1452793760419342,1.6895797613948675,4.34585015629068
N100-52,0.0006451774651735667,0.046463909490012764,72.01725416357027,8.486298024673083,0.7286251009755158,-1.460427941079042,2.5087082779232333
N100-53,0.000655808879793805,0.05905398938775395,90.04755990239306,9.489339276387637,-0.44618268330387334,-1.0819677551747944,1.1391253474532732
N100-54,0.000615783088300259,0.039841411006911416,64.70039818223222,8.043655772236416,-0.3168156611872837,0.03280853728440972,0.07916950269236622
N100-55,0.0006140696234344723,0.043717840059631065,71.1936210345637,8.4376312454719,0.158924630668989,-1.0017676899519343,0.821878397616274
N100-56,0.0006634751772745509,0.053409016696057576,80.4988920843327,8.972117480524465,-0.3868360341134473,-1.1599469338800406,1.2606030670301607
N100-57,0.0005848563214094183,0.03509271070753431,60.00227649581696,7.746113638194121,-0.15302328963072867,0.48140801959496227,0.39905958585109147
N100-58,0.0006682405377839873,0.05204535012934389,77.8841557591465,8.82520004074392,0.295087903465634,-1.9007568644570114,3.707943828011139
N100-59,0.0006046759335824548,0.038437387151399084,63.56692075319331,7.9728866010494155,0.3472588128749646,0.16088791906112154,0.30064951368399306
N100-60,0.0006369583414027702,0.05907357681082655,92.74323448018454,9.630328887436011,-1.1087362683764361,-0.676975021337025,1.423868650761733
N100-61,0.000597495599169301,0.03800357984867571,63.60478621350876,7.975260886861869,2.6375807542000795,-0.4085606419042435,7.559181840845895
N100-62,0.0006056673188340377,0.044715106908985294,73.8278350482337,8.592312555315576,-0.889789275792519,-0.21944678534310766,0.6553595980199134
N100-63,0.000630779344832884,0.0481145233447874,76.27789929858065,8.733721961373664,-1.9501240232821753,-0.41269572740638694,3.7623818130014115
N100-64,0.0006030979099672624,0.040014133169966076,66.34765683757409,8.1454071007884,1.0649171288613632,-0.4884483195579848,1.4785193649952362
N100-65,0.0004806785279588158,0.01928776125091949,40.126113668576544,6.334517635035563,3.4787384566048205,3.3847776295007312,16.410529185984615
N100-66,0.0006059992423670202,0.037399056376098805,61.71469163891837,7.855869884291514,0.4160302994156098,0.3898347080956388,0.5516306235028878
N100-67,0.0006394937995228249,0.04633138879825135,72.45009855110828,8.511762364581632,-0.5827471372751348,-0.21774808924458094,0.2435854980037675
N100-68,0.000552637620909238,0.027102318144354653,49.04175379838243,7.002981779098274,0.8646393503617636,1.7738863395067044,3.953298871805373
N100-69,0.0006188403951572642,0.04460824473099946,72.08360197569729,8.490206238702173,0.051834931580882704,-0.8932136497156158,0.5776157308596339
N100-70,0.0005787691134816436,0.0332074997479898,57.376074456058575,7.574699628107941,0.4616511438810426,1.611117175697766,3.0036047745552423
N100-71,0.0006784872908360261,0.06454959206444508,95.13751095456428,9.753845957086071,-0.8483416869433384,-1.5654477287588564,3.199688529482728
N100-72,0.0006309715864189516,0.047271957272847984,74.91931220094658,8.655594271969232,-0.5783050338209337,-0.286575069735668,0.2580673940003635
N100-73,0.0005761214851604924,0.03545841578455867,61.546768690080846,7.8451748667624255,-0.15653987487994592,0.5438281857913478,0.48132950484750836
N100-74,0.0005485171770512492,0.029158636071106005,53.1590208858339,7.291023308550995,0.9995631758370427,1.6422559784946098,3.7137671906307332
N100-75,0.0006221376415336352,0.04345624412539825,69.84988726654444,8.357624499015522,-1.1359817959309548,-0.19898916386054433,1.1105359300474902
N100-76,0.0006571992534456309,0.05366058885710512,81.65041055017628,9.036061672552721,-0.8626708805748063,0.19362619775812961,0.7209683852727267
N100-77,0.0005380664090058738,0.028478778917559462,52.92800004032323,7.275163231180674,0.44173280434682566,1.8599056573691637,3.6801851940042525
