realization,a_p,z_p,w_p_mean,w_p_median,w_p_std,w_p_q2p5,w_p_q16,w_p_q84,w_p_q97p5
N100-87,0.7898453200607257,0.2660706781463451,-1.0744229348602006,-1.074411155952399,0.026776338492366453,-1.127104785059697,-1.1010462567824277,-1.047725845115625,-1.0221326226998482
N100-88,0.7721955230359143,0.295008803040536,-0.9885762105930066,-0.9884754475009669,0.025530868206318547,-1.0387826434433363,-1.013960941898599,-0.9632459470483851,-0.938693058843433
N100-89,0.7891979723098577,0.26710918563710706,-1.0440647858629213,-1.0440198358972261,0.02615072887055522,-1.0954585601500824,-1.0700820372046098,-1.0180180530924672,-0.9930334741472574
N100-90,0.7837537978721272,0.27591088262025143,-1.031946487269706,-1.0318145878390468,0.026131811152963976,-1.0835127982098232,-1.0579572835568185,-1.0060736426181809,-0.9808059449335349
N100-91,0.7477050319955684,0.3374257992233587,-0.9487415576683783,-0.9486237014367205,0.02450506732139498,-0.997181550090805,-0.9730676371968368,-0.9243528540652121,-0.9011023796808862
N100-92,0.7668455601141486,0.30404354150677393,-0.9710205936913618,-0.9709655702187316,0.025003739924584295,-1.0201659031427115,-0.9958947456645697,-0.9462277613668099,-0.9221582925312918
N100-93,0.7628999221563695,0.31078791720604304,-0.9917783825650813,-0.9917837616641676,0.025124879907117783,-1.0412200642906715,-1.0166557903679712,-0.9667551811509077,-0.9426116005429167
N100-94,0.7505595121126876,0.33233938663329066,-0.9953180191639317,-0.9951691753584879,0.02456928488614406,-1.0439953518168956,-1.0196692074501879,-0.9709340207884931,-0.9474804819754259
N100-95,0.7759767372027345,0.28869842619874353,-1.0175510300854118,-1.0174237323523785,0.025860358209518777,-1.0687323757747476,-1.0432766927588755,-0.9919251805841457,-0.967141064704393
N100-96,0.7685448551590139,0.3011602293441902,-0.9579284053753688,-0.957863525408067,0.025440306080417405,-1.008077538917112,-0.9831667947614309,-0.9326847648674114,-0.9081891169058729
N100-97,0.7618425223811932,0.31260722606350266,-1.0234498246256336,-1.023316966429662,0.025301881894770156,-1.073311631937893,-1.0486070450747365,-0.9983479361898044,-0.9740746481801377
N100-98,0.7784678065606638,0.2845746369629387,-0.9537402612466187,-0.9536255308789622,0.026236767214879112,-1.0054298422424781,-0.9798376170191255,-0.9276385594511545,-0.9026931247530809
N100-99,0.7762091373053617,0.2883125847648953,-1.0307162259047713,-1.03064014716261,0.02600465429691305,-1.0820190700837784,-1.0565445549596328,-1.0048536794870888,-0.9799908511203193
