realization,Delta_chi2_BAO_LR,Delta_chi2_CMB_LR,Delta_chi2_SN_LR,total_Delta_chi2_LR,classification
N100-58,1.152403893442397,2.1142793562406057,0.44126057832818333,3.707943828011139,BAO+CMB aligned
N100-59,0.024260146145876682,-0.005572411845330156,0.2819617793834368,0.30064951368399306,SNE dominated
N100-60,2.403070092067397,-1.003560278649631,0.024358837343925188,1.423868650761733,BAO dominated
N100-61,-1.0177016701282096,1.6501232580310699,6.9267602529430405,7.559181840845895,SNE dominated
N100-62,0.06911325561887338,0.07371809292752966,0.5125282494736894,0.6553595980199134,SNE dominated
N100-63,-0.2901509825534436,0.5303707402631925,3.522162055291801,3.7623818130014115,SNE dominated
N100-64,0.21902977989059025,0.12462983423693128,1.1348597508676903,1.4785193649952362,SNE dominated
N100-65,9.7984279427397,4.8567165191177954,1.7553847241269978,16.410529185984615,BAO+CMB aligned
N100-66,0.7780588011155896,0.06572207254680226,-0.2921502501596933,0.5516306235028878,BAO+CMB aligned
N100-67,-0.16985670495988803,0.09961782411796263,0.3138243788455384,0.2435854980037675,SNE dominated
N100-68,4.520373155080048,-0.36964816799526046,-0.1974261152793133,3.953298871805373,BAO dominated
N100-69,-0.11821027276828033,0.4343140480115311,0.26151195561624263,0.5776157308596339,CMB dominated
N100-70,0.7994060045840374,2.2068451579957227,-0.0026463880244591564,3.0036047745552423,BAO+CMB aligned
N100-71,2.4719130552366835,-0.38344103993557876,1.1112165141817059,3.199688529482728,BAO dominated
N100-72,0.266013177316216,-0.19802023146813774,0.19007444815224517,0.2580673940003635,BAO dominated
N100-73,0.09800185807823247,0.0017053169101342441,0.3816223298592831,0.48132950484750836,SNE dominated
N100-74,2.6947708692440724,2.0457732782114717,-1.0267769568249605,3.7137671906307332,BAO+CMB aligned
N100-75,-0.018912616617127398,0.4253047485564295,0.7041437981081344,1.1105359300474902,SNE dominated
N100-76,1.154200718689708,-0.13451031057718055,-0.29872202283968363,0.7209683852727267,BAO dominated
N100-77,3.065229788940636,1.3572521321854645,-0.7422967271218113,3.6801851940042525,BAO+CMB aligned
N100-78,1.6904504351597787,-0.5711128011709963,-0.5136911891456748,0.6056464448431598,BAO dominated
N100-79,-0.9171390532973831,0.11011696109226662,1.9967502259528374,1.1897281337476215,SNE dominated
N100-80,0.6026706841407545,0.29308496106333376,0.33830495744700784,1.2340606026511978,BAO+CMB aligned
N100-81,0.07547215937103147,-0.23459925936800247,0.49901934819740745,0.33989224820038544,SNE dominated
N100-82,2.322991856901954,0.8128852717814317,1.9352952979422753,5.071172426625708,broadly shared
N100-83,-0.4267925049618633,0.2611294738946909,4.466105757793457,4.30044272672626,SNE dominated
N100-84,-0.14645937770937412,0.07068515671488933,0.6466847497483741,0.5709105287537568,SNE dominated
N100-85,0.08087028783331895,0.00784566296483043,0.3062313908019405,0.39494734160007283,SNE dominated
N100-86,-0.5231715141967097,0.1891237825778861,1.092597503319439,0.7585497717007001,SNE dominated
N100-87,-1.0645717630542766,3.918085640130897,6.260754798322523,9.11426867539899,SNE dominated
