realization,chi2_min_LCDM,chi2_min_CPL,LCDM_random_start_seed,CPL_random_start_seed,LCDM_optimizer_success,CPL_optimizer_success,LCDM_optimizer_method,CPL_optimizer_method,LCDM_total_starts,CPL_total_starts,LCDM_restart_chi2_spread,CPL_restart_chi2_spread,max_restart_chi2_spread
N100-17,1761.9445653568798,1758.7023548039817,910017,920017,True,True,SLSQP,SLSQP,7,9,4.7066350816749036e-11,3.3514879760332406e-10,3.3514879760332406e-10
N100-18,1581.9242823666982,1580.6473454343407,910018,920018,True,True,SLSQP,SLSQP,7,9,8.481038094032556e-11,5.95719029661268e-11,8.481038094032556e-11
N100-19,1439.446011293134,1437.216828394658,910019,920019,True,True,SLSQP,SLSQP,7,9,3.205968823749572e-11,1.318767317570746e-10,1.318767317570746e-10
N100-20,1569.6805507516654,1568.3299833259257,910020,920020,True,True,SLSQP,SLSQP,7,9,8.890310709830374e-11,2.1714186004828662e-10,2.1714186004828662e-10
N100-21,1624.9152962586168,1616.7398368427469,910021,920021,True,True,SLSQP,SLSQP,7,9,3.865352482534945e-12,1.623448042664677e-10,1.623448042664677e-10
N100-22,1598.0170491438193,1593.594218764203,910022,920022,True,True,SLSQP,SLSQP,7,9,5.047695594839752e-11,7.548806024715304e-11,7.548806024715304e-11
N100-23,1540.085710430342,1539.948109129043,910023,920023,True,True,SLSQP,SLSQP,7,9,1.4597389963455498e-10,2.2396307031158358e-10,2.2396307031158358e-10
N100-24,1660.8087903509725,1660.4786481514197,910024,920024,True,True,SLSQP,SLSQP,7,9,2.276010491186753e-10,1.971329766092822e-10,2.276010491186753e-10
N100-25,1567.2526670565994,1562.5451937776381,910025,920025,True,True,SLSQP,SLSQP,7,9,2.4783730623312294e-11,2.0372681319713593e-10,2.0372681319713593e-10
N100-26,1572.390218990986,1571.8987397285944,910026,920026,True,True,SLSQP,SLSQP,7,9,4.274625098332763e-11,5.502442945726216e-11,5.502442945726216e-11
N100-27,1614.955815960198,1611.7262532015113,910027,920027,True,True,SLSQP,SLSQP,7,9,6.252776074688882e-11,1.0982148523908108e-10,1.0982148523908108e-10
N100-28,1689.2243526722464,1685.6984005393094,910028,920028,True,True,SLSQP,SLSQP,7,9,7.503331289626658e-12,2.646629582159221e-10,2.646629582159221e-10
N100-29,1554.9349713402082,1553.665546853171,910029,920029,True,True,SLSQP,SLSQP,7,9,8.185452315956354e-12,5.1159076974727213e-11,5.1159076974727213e-11
N100-30,1657.8122909480992,1655.1806578857652,910030,920030,True,True,SLSQP,SLSQP,7,9,3.61524143954739e-11,4.9112713895738125e-11,4.9112713895738125e-11
N100-31,1625.1529731547694,1624.6655733527411,910031,920031,True,True,SLSQP,SLSQP,7,9,5.229594535194337e-12,1.0459189070388675e-10,1.0459189070388675e-10
N100-32,1508.292472074102,1505.6450482322434,910032,920032,True,True,SLSQP,SLSQP,7,9,1.5916157281026244e-12,3.985860530519858e-10,3.985860530519858e-10
N100-33,1610.02659856835,1604.0380919939091,910033,920033,True,True,SLSQP,SLSQP,7,9,1.318767317570746e-11,3.597051545511931e-10,3.597051545511931e-10
N100-34,1541.212648517401,1536.5346527649992,910034,920034,True,True,SLSQP,SLSQP,7,9,7.503331289626658e-12,2.503384166629985e-10,2.503384166629985e-10
N100-35,1551.6200522991583,1550.8070865859243,910035,920035,True,True,SLSQP,SLSQP,7,9,3.433342499192804e-11,4.099547368241474e-10,4.099547368241474e-10
N100-36,1608.0437402154755,1607.3089656284865,910036,920036,True,True,SLSQP,SLSQP,7,9,2.5011104298755527e-12,1.4301804185379297e-10,1.4301804185379297e-10
N100-37,1678.4079239707419,1677.2230969704397,910037,920037,True,True,SLSQP,SLSQP,7,9,2.3146640160121024e-10,4.0972736314870417e-10,4.0972736314870417e-10
N100-38,1652.2697432381576,1652.1574007402996,910038,920038,True,True,SLSQP,SLSQP,7,9,8.049028110690415e-11,2.660272002685815e-11,8.049028110690415e-11
N100-39,1602.6056858154366,1601.8680508825594,910039,920039,True,True,SLSQP,SLSQP,7,9,8.890310709830374e-11,2.72393663180992e-10,2.72393663180992e-10
N100-40,1491.5849679043545,1490.2703261654244,910040,920040,True,True,SLSQP,SLSQP,7,9,1.4142642612569034e-10,4.604316927725449e-10,4.604316927725449e-10
N100-41,1681.0444751563225,1680.9108732025486,910041,920041,True,True,SLSQP,SLSQP,7,9,4.6838977141305804e-11,2.971773938043043e-10,2.971773938043043e-10
N100-42,1608.1008124500217,1607.864510546847,910042,920042,True,True,SLSQP,SLSQP,7,9,1.3869794202037156e-11,9.276845958083868e-11,9.276845958083868e-11
N100-43,1702.8136420339106,1701.141341502426,910043,920043,True,True,SLSQP,SLSQP,7,9,2.603428583825007e-10,7.312337402254343e-10,7.312337402254343e-10
N100-44,1557.544324339332,1557.0287189773683,910044,920044,True,True,SLSQP,SLSQP,7,9,1.4551915228366852e-11,3.001332515850663e-11,3.001332515850663e-11
N100-45,1641.4395676589536,1638.34138420824,910045,920045,True,True,SLSQP,SLSQP,7,9,4.7066350816749036e-11,2.603428583825007e-10,2.603428583825007e-10
N100-46,1625.2020456551716,1624.2538651624852,910046,920046,True,True,SLSQP,SLSQP,7,9,5.525180313270539e-11,5.602487362921238e-10,5.602487362921238e-10
N100-47,1565.7186096555263,1564.6928417810634,910047,920047,True,True,SLSQP,SLSQP,7,9,2.97859514830634e-11,5.85941961617209e-10,5.85941961617209e-10
N100-48,1610.72214158789,1610.4091051168507,910048,920048,True,True,SLSQP,SLSQP,7,9,1.3869794202037156e-11,2.9103830456733704e-10,2.9103830456733704e-10
N100-49,1654.6761160687574,1653.7250179811929,910049,920049,True,True,SLSQP,SLSQP,7,9,3.115019353572279e-11,5.527454050024971e-10,5.527454050024971e-10
N100-50,1540.8336409841638,1540.2142821294435,910050,920050,True,True,SLSQP,SLSQP,7,9,1.2573764252010733e-10,4.0472514228895307e-11,1.2573764252010733e-10
N100-51,1562.366191702173,1558.0203415458823,910051,920051,True,True,SLSQP,SLSQP,7,9,5.275069270282984e-11,1.1141310096718371e-11,5.275069270282984e-11
N100-52,1608.3904634523362,1605.881755174413,910052,920052,True,True,SLSQP,SLSQP,7,9,9.5042196335271e-11,3.765308065339923e-10,3.765308065339923e-10
N100-53,1612.716735720833,1611.5776103733797,910053,920053,True,True,SLSQP,SLSQP,7,9,3.342393029015511e-11,7.048583938740194e-11,7.048583938740194e-11
N100-54,1558.8360434983465,1558.7568739956541,910054,920054,True,True,SLSQP,SLSQP,7,9,1.2960299500264227e-11,1.5711520973127335e-10,1.5711520973127335e-10
N100-55,1524.8122512913528,1523.9903728937365,910055,920055,True,True,SLSQP,SLSQP,7,9,2.091837814077735e-11,2.0804691303055733e-10,2.0804691303055733e-10
N100-56,1603.356617098554,1602.0960140315237,910056,920056,True,True,SLSQP,SLSQP,7,9,5.4569682106375694e-12,1.2846612662542611e-10,1.2846612662542611e-10
N100-57,1607.1781565463148,1606.7790969604637,910057,920057,True,True,SLSQP,SLSQP,7,9,1.1596057447604835e-11,1.1027623258996755e-10,1.1027623258996755e-10
N100-58,1494.7287333490087,1491.0207895209976,910058,920058,True,True,SLSQP,SLSQP,7,9,1.2732925824820995e-11,1.6984813555609435e-10,1.6984813555609435e-10
N100-59,1591.7123603496177,1591.4117108359337,910059,920059,True,True,SLSQP,SLSQP,7,9,5.6843418860808015e-12,1.4347278920467943e-10,1.4347278920467943e-10
N100-60,1609.1693221510566,1607.7454535002948,910060,920060,True,True,SLSQP,SLSQP,7,9,4.956746124662459e-11,3.1241143005900085e-10,3.1241143005900085e-10
N100-61,1605.8565222091393,1598.2973403682934,910061,920061,True,True,SLSQP,SLSQP,7,9,1.887201506178826e-11,3.3719516068231314e-10,3.3719516068231314e-10
N100-62,1596.2492990025191,1595.5939394044992,910062,920062,True,True,SLSQP,SLSQP,7,9,1.4779288903810084e-11,1.2050804798491299e-11,1.4779288903810084e-11
N100-63,1553.4817069601004,1549.719325147099,910063,920063,True,True,SLSQP,SLSQP,7,9,7.503331289626658e-11,2.1327650756575167e-10,2.1327650756575167e-10
N100-64,1600.0819460935668,1598.6034267285715,910064,920064,True,True,SLSQP,SLSQP,7,9,5.661604518536478e-11,4.5361048250924796e-10,4.5361048250924796e-10
N100-65,1629.8678134284598,1613.4572842424752,910065,920065,True,True,SLSQP,SLSQP,7,9,1.2710188457276672e-10,3.5925040720030665e-11,1.2710188457276672e-10
N100-66,1641.524006681725,1640.9723760582222,910066,920066,True,True,SLSQP,SLSQP,7,9,5.934452929068357e-11,5.5706550483591855e-11,5.934452929068357e-11
N100-67,1565.6695131407826,1565.4259276427788,910067,920067,True,True,SLSQP,SLSQP,7,9,5.002220859751105e-12,2.3214852262753993e-10,2.3214852262753993e-10
N100-68,1656.4497620096274,1652.496463137822,910068,920068,True,True,SLSQP,SLSQP,7,9,4.75210981676355e-11,8.208189683500677e-11,8.208189683500677e-11
N100-69,1615.8277852245847,1615.250169493725,910069,920069,True,True,SLSQP,SLSQP,7,9,9.322320693172514e-12,1.0118128557223827e-10,1.0118128557223827e-10
N100-70,1551.2496283944176,1548.2460236198624,910070,920070,True,True,SLSQP,SLSQP,7,9,2.773958840407431e-11,1.8121681932825595e-10,1.8121681932825595e-10
N100-71,1625.8973499247054,1622.6976613952227,910071,920071,True,True,SLSQP,SLSQP,7,9,2.2714630176778883e-10,2.43971953750588e-10,2.43971953750588e-10
N100-72,1704.4798642060325,1704.2217968120322,910072,920072,True,True,SLSQP,SLSQP,7,9,4.0245140553452075e-11,2.878550731111318e-10,2.878550731111318e-10
N100-73,1607.377931613083,1606.8966021082356,910073,920073,True,True,SLSQP,SLSQP,7,9,5.275069270282984e-11,2.730757842073217e-10,2.730757842073217e-10
N100-74,1661.1021927947218,1657.388425604091,910074,920074,True,True,SLSQP,SLSQP,7,9,3.319655661471188e-11,4.1654857341200113e-10,4.1654857341200113e-10
