realization,omega_m_mean,omega_m_median,omega_b_mean,omega_b_median,H0_mean,H0_median,Omega_m0_mean,Omega_m0_median,w0_mean,w0_median,wa_mean,wa_median,DeltaM_mean,DeltaM_median,wp_mean,wp_median
N100-13,0.14729024252919817,0.14729799953405745,0.022258011340088764,0.02225761452132236,69.60523350578623,69.60301717714921,0.3040919877803263,0.304018558953314,-0.9482480532694477,-0.9489930828291434,-0.17454984295890713,-0.1652217159961054,-0.0035731072804637363,-0.0035719554748526398,-0.9869749595950178,-0.9868901610937315
N100-14,0.1488507410339586,0.1488584820445329,0.022395158937997522,0.022394578865544752,70.80739388912635,70.80433086578441,0.29696776991860835,0.2969121255675974,-0.9711431541155405,-0.9718848256102911,-0.27077450450169405,-0.2625043471279795,0.026088999213105746,0.02605429197786551,-1.0302875932585063,-1.0301860965102179
N100-15,0.1457897308921477,0.14579471711894526,0.022470450112912824,0.022470137218668012,69.86597554091726,69.86343149908572,0.2987499842529315,0.2986834317196381,-1.059204185694494,-1.059926493693335,0.26305534837210137,0.27188255888210794,-0.012753307981772382,-0.012757932230130244,-0.9949956991676742,-0.9949029343769111
N100-16,0.14637173734672587,0.14637923029932734,0.022399805659418247,0.022399697286613028,71.13210047082177,71.127879277538,0.2893616947553228,0.2893078547809219,-1.0595929771518826,-1.0601983304488494,0.12099771182178119,0.13015650690280509,0.024154919169742533,0.02401303131299958,-1.0320838527690281,-1.0319858544154434
N100-17,0.14635001719530713,0.146357338868653,0.022366622334815657,0.02236650133296641,69.88469841032067,69.8789682682062,0.2997380927695046,0.2996724486708452,-1.0755949042304622,-1.0763341246314073,0.2994042233177399,0.30711575901516935,-0.01508004532567627,-0.015159608464106366,-1.0018434068758455,-1.0015731444276454
N100-18,0.14773273546849638,0.1477397577113787,0.022249877208068904,0.022250043195224133,70.45797226773117,70.4546761107942,0.29766764941307333,0.2976237367839418,-0.9717556942444113,-0.9724453095772955,-0.21813150774117848,-0.20890642706309343,0.014645499373860789,0.014615904893145935,-1.019164084457943,-1.019102453870794
N100-19,0.14740022974299724,0.1474080919246355,0.02228384971784047,0.02228359970209398,70.45216720462935,70.44776906429028,0.2970456348835806,0.2969964834478924,-1.0635882639269387,-1.0643793302972238,0.12661997558494908,0.13580609485595962,0.00564642849539487,0.0056086001853289345,-1.0347807625727765,-1.0346563067921435
N100-20,0.14781678729089345,0.14782409334202143,0.02246480137369362,0.022464631657587577,69.9655111883023,69.9623545336256,0.30204311262151673,0.3019938284700085,-1.0538128924641375,-1.0545763394131331,0.17761594131132824,0.18617930874855743,-0.00657180427233985,-0.006570475864682866,-1.0116885053085416,-1.0115557481514539
N100-21,0.14815277599366422,0.14816293549287038,0.02243480029335337,0.02243535328894377,68.80390239212296,68.80042882990978,0.3130395340138724,0.31297634261168894,-0.84926865292725,-0.8498674076772651,-0.4435230019805849,-0.43610467523083346,-0.004887390900941339,-0.004910432517026825,-0.9485482017665195,-0.9484277116696855
N100-22,0.14813889502028202,0.14814651450814503,0.02219558487125719,0.022195208393233343,68.79201087335433,68.78839993246261,0.313118111175637,0.31305371245840397,-0.8848269650832946,-0.885557521139702,-0.35362923929505924,-0.3455484488257166,-0.02011654456886928,-0.020138621166250086,-0.9633095926222958,-0.9632035108762199
N100-23,0.14719766745263585,0.14720625591707084,0.02218360396896499,0.02218305155765015,69.38765991144648,69.38406274331572,0.3058081598376379,0.30573856521164183,-0.9895721550611295,-0.9906606439152927,-0.01817584171680181,-0.0069174043615869985,-0.01261407519413493,-0.012680804443029044,-0.9935854398869945,-0.993453549689023
N100-24,0.14846599292042856,0.1484672279974446,0.02258601972701688,0.02258650100191904,69.71323251419365,69.71176052957605,0.3055708780449966,0.3055046421617308,-0.9664412992256357,-0.9671739634111269,-0.1266399733559638,-0.1194386924918518,-0.005022941154487126,-0.0050496599520238345,-0.9957023907266693,-0.995648011693428
N100-25,0.1462751001795455,0.14628023236684579,0.02244323161871432,0.022442626051712752,68.6458313756831,68.64066839331693,0.31049532168318905,0.3104370013760125,-0.9552017751936244,-0.9559938799495178,0.030507083795301378,0.03878752434851296,-0.030214920339122864,-0.030294136954121063,-0.9478738736599238,-0.9476915855252821
N100-26,0.1479072261385408,0.14791114905375705,0.022481556298094996,0.022481729057596808,70.22971618309964,70.2267514998224,0.29995933670290265,0.2999022099762834,-0.9723552292476857,-0.9730388041118577,-0.15906117647892132,-0.15120628270900477,0.013736203831216938,0.013691111802133865,-1.008125743673929,-1.0080420994590853
N100-27,0.14764932833471897,0.14765611269860796,0.022419595552467177,0.022419187966624718,70.8555975036461,70.85276837347287,0.29417065187302305,0.2941073227148584,-0.9423135999225649,-0.9430789451120358,-0.364914999562733,-0.3557652405779882,0.031439383218821525,0.031411045057064726,-1.0203949076783232,-1.0203464498796033
N100-28,0.14662000917662046,0.14662288023711945,0.022338595534349928,0.02233871235960709,68.59299649242729,68.58667001505833,0.31170817536607726,0.3116617449000355,-0.9684399562648653,-0.9691685111070666,0.051059230329150586,0.05853451031521208,-0.03158079168758816,-0.03165022117501604,-0.9557760080224329,-0.9555967541305755
N100-29,0.14693509688494513,0.146939677908864,0.022562555037312252,0.02256254097648601,71.1189886605508,71.11537685996065,0.29058256239461183,0.29053939612282476,-1.0420216824655493,-1.042866020239531,0.06114493185902056,0.07079588775564119,0.027234431353811546,0.027207195823106517,-1.028073541484538,-1.0280310842157425
N100-30,0.14482437221245498,0.14482788998058418,0.02217445332683335,0.02217397175592991,70.11016224807686,70.10700083492313,0.29470859221289625,0.2946491949101605,-1.0682072853480806,-1.068754400001016,0.2649543439837787,0.27189791856627,-0.005779286423417952,-0.0058199523461975496,-1.0026315722152708,-1.0025159368551209
N100-31,0.14754398216058076,0.14755704549133808,0.022511854303453326,0.022511330358379777,69.58040146615353,69.57757121715483,0.3048328219801613,0.3047548925896761,-0.9671000325431646,-0.9676712571771232,-0.08131225397681806,-0.0744740656917926,-0.015197416532628643,-0.015223328225630252,-0.9859701210586125,-0.9859098192978459
N100-32,0.1484928060589961,0.14850083575952,0.022079755268066763,0.0220792773228192,69.66683943596456,69.66263649704267,0.3060324470376024,0.30598418536235944,-0.917114370761354,-0.9177368526589904,-0.3929186784716889,-0.3837953058265089,0.005039642260891742,0.004954793241340047,-1.000808416782651,-1.0007415420414376
N100-33,0.1453210394028464,0.14532929121302948,0.022481240176493455,0.022481263863418102,70.66635359065991,70.66366412618007,0.29108207126401126,0.2910192753473945,-1.1107104594693824,-1.1111652558180805,0.39951810935111987,0.4067513743724699,0.0055969055588784055,0.0055613186904739376,-1.009572058056863,-1.009380849705992
N100-34,0.14801707332343725,0.14802810897671023,0.02214102029121503,0.022140469869372376,70.56579107413965,70.56143809249157,0.2973309170412005,0.2972847116397539,-0.9166358225984124,-0.9176111004803467,-0.47937908614896335,-0.4703115736948812,0.022209945985947645,0.02215941077192367,-1.016468512437697,-1.0163203725790613
N100-35,0.14842016276661224,0.14842814338398025,0.02257928345429156,0.022578799714564005,70.30621028528257,70.30158484384572,0.3003446133635922,0.30028827660921126,-1.039983527029918,-1.0407563006473852,0.08866929477748463,0.09701081627158589,0.002652329294317534,0.0026185471413069997,-1.019486369732617,-1.0193958885349752
N100-36,0.147178122997419,0.1471867165606643,0.02231949196272409,0.022320082568686814,70.0509725259791,70.04609817372298,0.30000672726063854,0.2999546189971826,-0.9528767450748706,-0.9537017645313689,-0.2134552275762282,-0.20371759610621057,0.0005818591611758165,0.0004946020711695809,-0.9993597270469371,-0.9992198749284565
N100-37,0.14617741742372892,0.14618622899786166,0.02243470865801202,0.02243433110599017,69.71577480145571,69.71459252794024,0.3008382575065835,0.30075553717753034,-1.0214732909233866,-1.0222555934209594,0.14339955609917973,0.15153867788246744,-0.012299280160675274,-0.012321830044668537,-0.987218638153897,-0.9870893261391369
N100-38,0.14641562115577758,0.14642366096744275,0.022499568641449273,0.02250006217307006,70.71947593630615,70.71664190435507,0.29283583911355743,0.29279015197752367,-1.012445459229813,-1.0130509070813023,0.021714968560555048,0.03011498244276442,0.021914780544346667,0.02191059264329717,-1.0074329097283878,-1.0073072786672697
N100-39,0.14569319391018618,0.14569650138523565,0.022358553573004616,0.022358627408405125,70.55499345580813,70.54944403804848,0.29274986882035,0.2927045190902324,-1.0379447390075416,-1.038708702591419,0.12379091061537995,0.13312828214807398,0.020929707776520343,0.02084587442390938,-1.0092767324710612,-1.0092032340661223
N100-40,0.14807249418554225,0.14808114603234668,0.022487911196035965,0.022487407011367977,70.63558713494288,70.63183273343984,0.2968534418215845,0.29679672877531155,-0.9654664767625767,-0.9663407786056595,-0.23477250354990448,-0.2262667810734042,0.016577465098203875,0.016543404161037584,-1.0164686070137072,-1.0163200017978753
N100-41,0.14661406240304786,0.14662010600214978,0.022329831269490223,0.022329552869762462,70.11652069347097,70.11270370606027,0.29829816439456347,0.2982447083798076,-0.9840570109879225,-0.984729934427651,-0.0942562736238561,-0.08713750921738087,0.0012439010218823422,0.0012117951886931456,-1.0056496278312146,-1.0055440647624312
N100-42,0.14773157249493363,0.14773910943340274,0.022242895331252246,0.022242019455382765,69.90959159088972,69.90774706409401,0.30235434190994326,0.30228016083547143,-0.9874856106529193,-0.9882495915735185,-0.10239126426543799,-0.0948156788411489,0.00031666901027244023,0.00030963693800756253,-1.010729201491595,-1.0106941353645549
N100-43,0.14652188103647076,0.14652960672392126,0.02239861741194594,0.02239868022211622,69.41754501796619,69.41271474582419,0.30414298970856785,0.30409502218140394,-0.9679283047506162,-0.9686488698215673,-0.009400450428323954,-0.0020019925455593,-0.011405122673468113,-0.011471599237322602,-0.9701818610807408,-0.9700884334538182
N100-44,0.14489306560799914,0.14490572846950778,0.022270385053056584,0.02227001081555379,70.27964764358623,70.27866701391585,0.2934282376517074,0.29335321526754554,-1.0250091106855477,-1.025889809826056,0.10511927317096253,0.11385026962389003,0.0002962595589183535,0.0002896659235609028,-1.0001868093341257,-1.0001866589195914
N100-45,0.146461326594405,0.14647207623200045,0.022224541089938585,0.022224386798380368,70.62967509704438,70.62647996962899,0.2936713953635575,0.2936130026759275,-1.0842898199915203,-1.0850296200137892,0.2321469997143824,0.24196787901166888,0.0059417336462211975,0.005887339145627941,-1.030652836671844,-1.0304939964851356
N100-46,0.14547617850428787,0.145483092428365,0.02260665377339459,0.02260597758323166,70.18011413096401,70.17745771103046,0.29544634964108973,0.29539949054514836,-0.9961898506378888,-0.9968166192889081,0.062215944989097445,0.06966124762052445,-0.00014844012792432267,-0.0001330526745861745,-0.9811710410635944,-0.9810436325211345
